"CÃ“DIGO";"PRODUCTO";"CATEGORÃA";"Unidad de medida";"Cantidad x pres.";"Peso X presentaciÃ³n";"MINORISTA                   Precio x presentaciÃ³n";"MAYORISTA                   Precio x presentaciÃ³n";"DISTRIBUIDOR                   Precio x presentaciÃ³n"
"SLTAE1";"Arveja entera x 1 kg";"SALVE LA TIERRA ";"KG";1;1;" 3.198,00 ";" $2.665,00 ";" $2.132,00 "
"SLTAE25";"Arveja entera x 25 kg ";"SALVE LA TIERRA ";"BOLSÃ“N";25;25;" 71.340,00 ";" $59.450,00 ";" $47.560,00 "
"SLTAP1";"Arveja partida x 1 kg ";"SALVE LA TIERRA ";"KG";1;1;" 3.324,75 ";" $2.770,63 ";" $2.216,50 "
"SLTAP25";"Arveja partida x 25 kg ";"SALVE LA TIERRA ";"BOLSÃ“N";25;25;" 74.167,50 ";" $61.806,25 ";" $49.445,00 "
"SLTAA1";"Avena arrollada x 1 kg";"SALVE LA TIERRA ";"KG";1;1;" $4.933,50 ";" $4.111,25 ";" $3.289,00 "
"SLTAA20";"Avena arrollada x 20 kg ";"SALVE LA TIERRA ";"BOLSÃ“N";20;20;" $88.044,00 ";" $73.370,00 ";" $58.696,00 "
"SLTG1";"Garbanzo x 1 kg ";"SALVE LA TIERRA ";"KG";1;1;" $3.861,00 ";" $3.217,50 ";" $2.574,00 "
"SLTG25";"Garbanzo x 25 kg ";"SALVE LA TIERRA ";"BOLSÃ“N";25;25;" $86.130,00 ";" $71.775,00 ";" $57.420,00 "
"SLTL1";"Lenteja x 1 kg";"SALVE LA TIERRA ";"KG";1;1;" $4.906,20 ";" $4.088,50 ";" $3.270,80 "
"SLTL25";"Lenteja x 25 kg ";"SALVE LA TIERRA ";"BOLSÃ“N";25;25;" $109.446,00 ";" $91.205,00 ";" $72.964,00 "
"SLTM1";"Mijo pelado x 1 kg";"SALVE LA TIERRA ";"KG";1;1;" $3.946,80 ";" $3.289,00 ";" $2.631,20 "
"SLTM25";"Mijo pelado x 25 kg";"SALVE LA TIERRA ";"BOLSÃ“N";25;25;" $88.044,00 ";" $73.370,00 ";" $58.696,00 "
"SLTHG5";"Harina de garbanzo x 5 kg.";"SALVE LA TIERRA ";"KG";5;5;" $20.047,50 ";" $16.706,25 ";" $13.365,00 "
"SLTHG25";"Harina de garbanzo x 25 kg ";"SALVE LA TIERRA ";"BOLSÃ“N";25;25;" $89.100,00 ";" $74.250,00 ";" $59.400,00 "
"SLTBOGB";"Balanceado p/gallinas x 1 k";"SALVE LA TIERRA ";"KG";1;1;" $-   ";" $-   ";" $-   "
"SLTBOGB30";"Balanceado p/gallinas x 30 kg";"SALVE LA TIERRA ";"BOLSÃ“N";30;30;" $29.232,00 ";" $24.360,00 ";" $19.488,00 "
"SLTLM1";"Lino marrÃ³n x 1 kg ";"SALVE LA TIERRA ";"KG";1;1;" $3.870,75 ";" $3.225,63 ";" $2.580,50 "
"SLTLM25";"Lino marrÃ³n x 25 kg ";"SALVE LA TIERRA ";"BOLSÃ“N";25;25;" $86.347,50 ";" $71.956,25 ";" $57.565,00 "
"SLTMP1";"MaÃ­z pisingallo x 1 kg ";"SALVE LA TIERRA ";"KG";1;1;" $3.324,75 ";" $2.770,63 ";" $2.216,50 "
"SLTMP25";"MaÃ­z pisingallo x 25 kg ";"SALVE LA TIERRA ";"BOLSÃ“N";25;25;" $74.167,50 ";" $61.806,25 ";" $49.445,00 "
"SLTPAD1";"Poroto Adzuki x 1 kg ";"SALVE LA TIERRA ";"KG";1;1;" $4.646,85 ";" $3.872,38 ";" $3.097,90 "
"SLTPAD25";"Poroto Adzuki x 25 kg ";"SALVE LA TIERRA ";"BOLSÃ“N";25;25;" $103.660,50 ";" $86.383,75 ";" $69.107,00 "
"SLTPAL1";"Poroto Alubia x 1 kg ";"SALVE LA TIERRA ";"KG";1;1;" $4.364,10 ";" $3.636,75 ";" $2.909,40 "
"SLTPAL25";"Poroto Alubia x 25 kg ";"SALVE LA TIERRA ";"BOLSÃ“N";25;25;" $97.353,00 ";" $81.127,50 ";" $64.902,00 "
"SLTPC1";"Poroto Colorado x 1 kg ";"SALVE LA TIERRA ";"KG";1;1;" $4.364,10 ";" $3.636,75 ";" $2.909,40 "
"SLTPC25";"Poroto Colorado x 25 kg ";"SALVE LA TIERRA ";"BOLSÃ“N";25;25;" $97.353,00 ";" $81.127,50 ";" $64.902,00 "
"SLTPS1";"Poroto de Soja x 1 kg ";"SALVE LA TIERRA ";"KG";1;1;" $2.295,15 ";" $1.912,63 ";" $1.530,10 "
"SLTPS25";"Poroto de Soja x 25 kg ";"SALVE LA TIERRA ";"BOLSÃ“N";25;25;" $51.199,50 ";" $42.666,25 ";" $34.133,00 "
"SLTPM1";"Poroto Mung x 1 kg ";"SALVE LA TIERRA ";"KG";1;1;" $3.198,00 ";" $2.665,00 ";" $2.132,00 "
"SLTPM25";"Poroto Mung x 25 kg ";"SALVE LA TIERRA ";"BOLSÃ“N";25;25;" $71.340,00 ";" $59.450,00 ";" $47.560,00 "
"SLTPN1";"Poroto Negro x 1 kg ";"SALVE LA TIERRA ";"KG";1;1;" $3.847,35 ";" $3.206,13 ";" $2.564,90 "
"SLTPN25";"Poroto Negro x 25 kg ";"SALVE LA TIERRA ";"BOLSÃ“N";25;25;" $85.825,50 ";" $71.521,25 ";" $57.217,00 "
"SLTSC1";"Semilla de Chia x 1 kg ";"SALVE LA TIERRA ";"KG";1;1;" $8.385,00 ";" $6.987,50 ";" $5.590,00 "
"SLTSC25";"Semilla de Chia x 25 kg ";"SALVE LA TIERRA ";"BOLSÃ“N";25;25;" $187.050,00 ";" $155.875,00 ";" $124.700,00 "
"SLTSG1";"Semilla de Girasol x 1 kg ";"SALVE LA TIERRA ";"KG";1;1;" $4.933,50 ";" $4.111,25 ";" $3.289,00 "
"SLTSG20";"Semilla de Girasol x 20 kg ";"SALVE LA TIERRA ";"BOLSÃ“N";20;20;" $88.044,00 ";" $73.370,00 ";" $58.696,00 "
"SLTS1";"SÃ©samo x 1 kg ";"SALVE LA TIERRA ";"KG";1;1;" $6.415,50 ";" $5.346,25 ";" $4.277,00 "
"SLTS25";"SÃ©samo x 25 kg ";"SALVE LA TIERRA ";"BOLSÃ“N";25;25;" $143.115,00 ";" $119.262,50 ";" $95.410,00 "
"SLTQ1";"Quinoa x 1 kg ";"SALVE LA TIERRA ";"KG";1;1;" $-   ";" $-   ";" $-   "
"SLTQ25";"Quinoa x 25 kg ";"SALVE LA TIERRA ";"BOLSÃ“N";25;25;" $-   ";" $-   ";" $-   "
"CGSAY1";"Arroz yamani x 1 Kg.";"CEREALES GRANOS Y SEMILLAS";"KG";1;1;" $-   ";" $-   ";" $-   "
"CGSAY30";"Arroz yamani x 25 Kg.";"CEREALES GRANOS Y SEMILLAS";"BOLSÃ“N";25;25;" $-   ";" $-   ";" $-   "
"CGSAYIO7U";"Arroz Yamani Integral OrgÃ¡nico ""Schatzi"" x 500 Grs.";"CEREALES GRANOS Y SEMILLAS";"UNIDAD";1;0,5;" $5.114,22 ";" $4.261,85 ";" $3.409,48 "
"CGSAYIO7C";"Arroz Yamani Integral OrgÃ¡nico ""Schatzi"" x 500 Grs. CAJA x 20u.";"CEREALES GRANOS Y SEMILLAS";"CAJA";20;10;" $98.192,95 ";" $81.827,46 ";" $65.461,97 "
"CGSAILF1";"Arroz integral largo fino x 1 Kg.";"CEREALES GRANOS Y SEMILLAS";"KG";1;1;" $-   ";" $-   ";" $-   "
"CGSAILF25";"Arroz integral largo fino x 25 Kg.";"CEREALES GRANOS Y SEMILLAS";"BOLSÃ“N";25;25;" $-   ";" $-   ";" $-   "
"CGSAILO7U";"Arroz Integral Largo OrgÃ¡nico ""Schatzi"" x 750 Grs.";"CEREALES GRANOS Y SEMILLAS";"UNIDAD";1;0,75;" $6.606,36 ";" $5.505,30 ";" $4.404,24 "
"CGSAILO7C";"Arroz Integral Largo OrgÃ¡nico ""Schatzi"" x 750 Grs. CAJA x 12u.";"CEREALES GRANOS Y SEMILLAS";"CAJA";12;9;" $76.027,34 ";" $63.356,11 ";" $50.684,89 "
"CGSABO7U";"Arroz Blanco OrgÃ¡nico ""Schatzi"" x 750 Grs.";"CEREALES GRANOS Y SEMILLAS";"UNIDAD";1;0,75;" $-   ";" $-   ";" $-   "
"CGSABO7C";"Arroz Blanco OrgÃ¡nico ""Schatzi"" x 750 Grs. CAJA x 12u.";"CEREALES GRANOS Y SEMILLAS";"CAJA";12;9;" $-   ";" $-   ";" $-   "
"CGSGOM4U";"Granola OrgÃ¡nica con Manzana ""Schatzi"" x 400 Grs.";"CEREALES GRANOS Y SEMILLAS";"UNIDAD";1;0,4;" $9.451,78 ";" $7.876,48 ";" $6.301,19 "
"CGSGOM4C";"Granola OrgÃ¡nica con Manzana ""Schatzi"" x 400 Grs. CAJA x 8u.";"CEREALES GRANOS Y SEMILLAS";"CAJA";8;3,2;" $72.515,31 ";" $60.429,43 ";" $48.343,54 "
"CGSGOM1U";"Granola OrgÃ¡nica con Manzana ""Schatzi"" x 1,5 Kg.";"CEREALES GRANOS Y SEMILLAS";"BOLSA";1;1,5;" $24.613,53 ";" $20.511,27 ";" $16.409,02 "
"CGSGID4U";"Granola Integral Desayuno ""Schatzi"" x 400 Grs.";"CEREALES GRANOS Y SEMILLAS";"UNIDAD";1;0,4;" $10.468,92 ";" $8.724,10 ";" $6.979,28 "
